drug_name,unique_prescriber,total_drug_cost
DRONABINOL,14,55725
LOVAZA,17,55382
PERMETHRIN,17,55376
PYRIDOSTIGMINE BROMIDE,26,55362
PERPHENAZINE,24,55262
FORADIL,11,55062
OTEZLA,2,55062
METHYLPHENIDATE ER,17,54759
TRULICITY,4,54163
EXFORGE,14,54005
SPORANOX,2,53593
CIPRODEX,12,53511
PULMICORT FLEXHALER,13,53399
LIPITOR,12,53183
ATELVIA,9,53096
DESMOPRESSIN ACETATE,25,52930
OXYCODONE HCL ER,7,52843
FLUOCINOLONE ACETONIDE,9,52009
BROMOCRIPTINE MESYLATE,12,51980
TRANSDERM-SCOP,18,51561
HYDROCORTISONE VALERATE,15,51512
PILOCARPINE HCL,21,51380
HYDROXYUREA,58,51308
HALOPERIDOL DECANOATE,27,51147
NUCYNTA ER,5,50530
DICYCLOMINE HCL,218,50261
SOMATULINE DEPOT,1,50088
ORACEA,3,50078
FLUPHENAZINE DECANOATE,16,49809
SILVER SULFADIAZINE,51,49281
KETOPROFEN,4,48787
FETZIMA,7,48588
EFFEXOR XR,9,48583
ETODOLAC ER,5,48565
BESIVANCE,5,48402
DILANTIN,44,48394
HALOPERIDOL DECANOATE 100,13,48286
PROTONIX,12,48268
LAMIVUDINE,9,48233
HYDROMORPHONE ER,3,47848
TOBRADEX,9,47628
NORTRIPTYLINE HCL,150,47609
LETROZOLE,53,47545
CELLCEPT,2,47482
SANCUSO,2,47361
CYMBALTA,9,47159
EPLERENONE,18,46885
SYMLINPEN 120,3,46573
ASPIRIN-DIPYRIDAMOLE ER,8,46436
ZYPREXA ZYDIS,2,46421
SURE COMFORT,35,46241
GLUCAGEN,8,46098
DORZOLAMIDE HCL,54,46058
MERCAPTOPURINE,16,45720
GATIFLOXACIN,8,45614
PREVACID,8,45492
TELMISARTAN-HYDROCHLOROTHIAZID,22,45371
PROMETHAZINE HCL,134,44875
PROVENTIL HFA,31,44169
OLANZAPINE-FLUOXETINE HCL,6,43865
INVOKAMET,7,43635
THEOPHYLLINE ANHYDROUS,67,43478
NAFTIN,5,43340
PLAVIX,15,43305
KLOR-CON 10,65,43168
ABACAVIR,7,43107
ZELAPAR,1,42915
OMEPRAZOLE-SODIUM BICARBONATE,4,42828
CARISOPRODOL,98,42623
MYCAMINE,2,42340
GLYBURIDE,91,42289
CALCITONIN-SALMON,32,42249
DEXAMETHASONE,84,42175
PREMPRO,15,42039
DEPAKOTE,6,42003
IRBESARTAN-HYDROCHLOROTHIAZIDE,43,41988
ALCOHOL PREP PADS,44,41822
RELISTOR,4,41811
EDARBYCLOR,5,41372
NOVOFINE 32,35,40991
TIAGABINE HCL,6,40979
ACITRETIN,5,40877
INTRALIPID,3,40277
HEPARIN SODIUM,24,40193
ATENOLOL-CHLORTHALIDONE,78,40131
DILT-XR,49,39972
ZONISAMIDE,32,39818
AMLODIPINE-ATORVASTATIN,9,39493
TOLTERODINE TARTRATE,24,38972
SPIRONOLACTONE-HCTZ,27,38843
VALPROIC ACID,59,38743
EXALGO,1,38544
VORICONAZOLE,2,38497
MORPHINE SULFATE,82,38429
GLUCAGON EMERGENCY KIT,7,38146
SIMBRINZA,14,37951
PIROXICAM,19,37942
CHLORHEXIDINE GLUCONATE,156,37919
METOCLOPRAMIDE HCL,180,37779
ACETAZOLAMIDE,24,37744
FLUOROMETHOLONE,9,37694
GEODON,2,37456
LEXAPRO,13,37369
BETHANECHOL CHLORIDE,19,37022
FUSILEV,1,36710
CLINDAMYCIN HCL,196,36492
POTIGA,3,36315
TROSPIUM CHLORIDE,20,35775
VIRACEPT,3,35668
RISPERDAL,3,35620
PHENYTOIN,45,35572
NUCYNTA,6,35517
RISPERIDONE ODT,9,35457
LIOTHYRONINE SODIUM,34,35264
PENTOXIFYLLINE,53,35176
FUZEON,1,34639
COLESTIPOL HCL,22,34624
DIGITEK,43,34604
SEREVENT DISKUS,9,34343
MYSOLINE,1,34314
NISOLDIPINE,11,34268
XOPENEX HFA,28,33906
ANDRODERM,3,33809
CLINDAMYCIN PHOSPHATE,25,33679
DYMISTA,10,33555
ACTONEL,7,33551
METHOCARBAMOL,86,33315
REVATIO,1,33165
ZENPEP,6,33031
DICLOFENAC SODIUM ER,30,32792
MEGACE ES,1,32655
DESOXIMETASONE,13,32393
ARICEPT,4,32274
RAYOS,1,31922
NOVOFINE AUTOCOVER,18,31782
OXTELLAR XR,3,31666
MIRAPEX ER,4,31375
PROGRAF,3,31303
OXAPROZIN,10,30450
ZOVIRAX,2,30401
DIOVAN HCT,6,30277
ZOLOFT,6,30112
DOCETAXEL,1,30099
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,2,30097
JARDIANCE,6,30033
HALOBETASOL PROPIONATE,11,29740
DOXYCYCLINE MONOHYDRATE,53,29524
PROCTOSOL-HC,28,29523
BICALUTAMIDE,36,29340
REGRANEX,2,29253
TROKENDI XR,2,29251
TRAVOPROST,6,29108
MEXILETINE HCL,9,29018
HUMATROPE,1,28980
PENNSAID,1,28969
PROPAFENONE HCL,37,28842
TRAMADOL HCL ER,14,28762
GENTAMICIN SULFATE,39,28725
PRAZOSIN HCL,45,28637
METHAZOLAMIDE,3,28621
CLARITHROMYCIN,27,28584
TESTOSTERONE CYPIONATE,36,28502
ATIVAN,1,28473
LITHIUM CARBONATE,97,27839
MEROPENEM,9,27748
ACARBOSE,23,27648
ALCOHOL PADS,25,27516
ZORTRESS,2,27511
PINDOLOL,6,27472
PIPERACILLIN-TAZOBACTAM,9,27408
PROGESTERONE,18,27297
AMRIX,1,27151
NEURONTIN,3,26925
LOVENOX,4,26912
BENLYSTA,1,26833
BOTOX,1,26766
CLOZAPINE ODT,1,26610
ROPINIROLE ER,6,26377
NAPROXEN SODIUM,32,26254
VERAPAMIL HCL,61,26246
TEGRETOL,10,26137
MOMETASONE FUROATE,43,26136
ATOVAQUONE,2,26034
ZIOPTAN,4,26002
FLUPHENAZINE HCL,48,25999
CARBATROL,4,25933
OXYTROL,4,25921
ZAFIRLUKAST,17,25895
LUNESTA,5,25306
CLORAZEPATE DIPOTASSIUM,43,24936
GRALISE,4,24846
ZYCLARA,1,24820
ESTRING,4,24690
DEXTROAMPHETAMINE SULFATE ER,7,24617
CLOZARIL,1,24356
BROMFENAC SODIUM,5,24329
EXFORGE HCT,6,24213
LUPRON DEPOT,1,24158
ALREX,5,23920
GLYBURIDE-METFORMIN HCL,43,23760
BUPRENORPHINE HCL,7,23684
DICLOFENAC SODIUM-MISOPROSTOL,9,23383
UNIFINE PENTIPS,39,23319
FLUVOXAMINE MALEATE,40,23198
FLUVOXAMINE MALEATE ER,3,23161
CEFEPIME HCL,9,23127
THIOTHIXENE,16,23100
PICATO,1,22949
HORIZANT,4,22893
TRICOR,6,22688
FLUDROCORTISONE ACETATE,58,22577
TRIFLUOPERAZINE HCL,18,22541
XANAX,4,22526
ZEGERID,2,22524
TROSPIUM CHLORIDE ER,7,22421
K-TAB ER,20,22407
JANTOVEN,82,22344
ERYPED 200,2,22307
SULFASALAZINE,38,22305
MOXIFLOXACIN HCL,10,22291
RIZATRIPTAN,22,21936
RISEDRONATE SODIUM DR,4,21871
PIOGLITAZONE-GLIMEPIRIDE,2,21761
LEVALBUTEROL HCL,7,21614
ITRACONAZOLE,3,21415
DILTIAZEM 12HR ER,10,21327
GAVILYTE-G,28,21278
INDAPAMIDE,46,21197
METHIMAZOLE,69,21161
ADEFOVIR DIPIVOXIL,2,20973
UCERIS,1,20605
FLUOCINOLONE ACETONIDE OIL,4,20597
AMERGE,1,20509
BETAMETHASONE VALERATE,20,20499
RABEPRAZOLE SODIUM,20,20433
EMTRIVA,1,20305
SULINDAC,37,20075
JUBLIA,2,19885
AMBIEN CR,4,19746
NYAMYC,20,19573
FLUNISOLIDE,7,19431
GAVILYTE-N,16,19403
NEOMYCIN-POLYMYXIN-DEXAMETH,38,19228
ANAGRELIDE HCL,6,19171
SODIUM CHLORIDE,34,19048
ALFUZOSIN HCL ER,46,19033
LOPERAMIDE,70,18888
MINOCYCLINE HCL,30,18717
CYCLOSPORINE MODIFIED,8,18708
BACITRACIN,6,18675
NORVASC,11,18651
EMEND,2,18620
ERYTHROCIN STEARATE,2,18560
EDARBI,6,18520
DESIPRAMINE HCL,17,18488
DURAGESIC,2,18465
OXYMORPHONE HCL,4,18116
MAXALT,1,18098
LITHIUM CARBONATE ER,34,17931
TENORMIN,3,17930
TAZTIA XT,26,17902
ZOSYN,3,17844
ULTICARE,22,17821
LEUKERAN,3,17717
SINGULAIR,6,17652
COLISTIMETHATE,1,17611
DANTROLENE SODIUM,6,17540
RIBASPHERE RIBAPAK,1,17483
EPITOL,17,17451
DESVENLAFAXINE ER,7,17233
HYDROXYZINE PAMOATE,59,17025
BETOPTIC S,4,16708
DAPSONE,19,16463
ESTAZOLAM,13,16450
PEG 3350-ELECTROLYTE,24,16420
MISOPROSTOL,20,16413
